Heyworth;40.3134;-88.9737
Elmhurst;41.8995;-87.9403
Bangor;44.8012;-68.7778
West Chicago;41.8847;-88.2040
Joliet;41.5085;-88.2278
Lombard;41.8800;-88.0078
Melrose Park;41.9163;-87.8924
Bolingbrook;41.6986;-88.0684
Joliet;41.4939;-88.1425
Hacienda Heights;33.9931;-117.9687
Savannah;32.1213;-81.1822
Chicago;41.8849;-87.6238
Willowbrook;41.7698;-87.9359
Enfield;41.9762;-72.5918
Melrose Park;41.9006;-87.8567
Chino;34.0122;-117.6889
Chicago;41.8824;-87.6376
Warwick;41.7001;-71.4162
Murrysville;40.4284;-79.6976
Pittsburgh;40.4344;-80.0248
Pittsburgh;40.4495;-80.1795
Pittsburgh;40.4439;-79.9561
Coraopolis;40.5184;-80.1667
O Fallon;38.8251;-90.7289
Pittsburgh;40.4184;-80.0509
Amarillo;35.2201;-101.6658
Salisbury;38.3607;-75.5994
Bridgeport;39.2865;-80.2562
Ellwood City;40.8617;-80.2865
New Kensington;40.5728;-79.7248
West Mifflin;40.3634;-79.8664
Licking;37.5073;-91.8828
Cranberry Twp;40.7097;-80.1049
Wheeling;40.0640;-80.7209
Morrisville;35.8235;-78.8256
Greenville;35.6127;-77.3663
Wilmington;34.1256;-77.9190
Milwaukee;43.0434;-87.8945
Fort Worth;32.7254;-97.3208
Raleigh;35.8181;-78.5636
New Bern;35.1620;-76.9585
Raleigh;35.8713;-78.5394
Brunswick;31.1823;-81.4926
Cary;35.7509;-78.7789
Raleigh;35.9341;-78.7166
Fair Lawn;40.9404;-74.1318
Durham;36.0378;-78.9858
Chapel Hill;35.9132;-79.0558
Washington;35.5466;-77.0522
Indianapolis;39.6794;-86.0881
Stratford;36.2779;-102.0156
Boise;43.5610;-116.2135
Oriental;35.0632;-76.7017
Alexandria;38.8177;-77.1527
Sterling;38.9881;-77.4755
Manassas;38.7932;-77.5366
Culpeper;38.4732;-77.9967
Philadelphia;39.9530;-75.1756
Jacksonville;30.3533;-81.4990
Frankfort;38.2009;-84.8733
Joliet;41.4982;-88.0367
Herndon;38.9841;-77.3827
Indianapolis;39.6780;-86.2005
Indianapolis;39.7132;-86.2617
Warrenton;38.7179;-77.8521
Herndon;38.9266;-77.3936
Arlington;38.8600;-77.0987
Gordonsville;38.1374;-78.1878
Alexandria;38.8156;-77.0453
Catlett;38.6537;-77.6406
Manassas;38.7510;-77.4753
Winchester;39.1492;-78.2780
Piru;34.4153;-118.7940
Reston;38.9311;-77.3489
Leesburg;39.0487;-77.6082
Chesapeake;36.7646;-76.1990
Mc Lean;38.9499;-77.2223
Quantico;38.5223;-77.2936
Fuquay Varina;35.5446;-78.8309
Holland;42.7875;-86.1089
Blacklick;40.0122;-82.8095
Birmingham;33.4468;-86.7404
Chandler;33.2769;-111.9444
Fostoria;41.1570;-83.4169
Palm Springs;33.7280;-116.5116
Raleigh;35.8204;-78.6783
Durham;35.9940;-78.8986
Jacksonville;34.7540;-77.4302
Southern Pines;35.1741;-79.3923
Edenton;36.0579;-76.6077
Atlanta;33.9255;-84.3380
Alliance;40.9153;-81.1059
Elizabethtown;37.6940;-85.8591
Fayetteville;35.0785;-78.9336
Old Greenwich;41.0229;-73.5649
Wilmington;39.7976;-75.5392
Colonial Heights;37.2680;-77.4073
Richmond;37.4677;-77.5900
Vienna;38.8318;-77.2888
Rancho Cucamonga;34.1064;-117.5931
Newark;40.1241;-82.3828
Wakarusa;41.5362;-86.0208
Duluth;34.0408;-84.1665
Granite Falls;44.8100;-95.5456
Ambridge;40.5892;-80.2251
Troy;42.6056;-83.1499
Jersey City;40.7364;-74.0724
Jersey City;40.7209;-74.0468
Carolina;18.3207;-65.9419
Vineland;39.4862;-75.0257
Suffern;41.1148;-74.1496
Somerset;39.8070;-82.2971
Chicago;41.8784;-87.6852
Phoenix;33.5586;-112.0955
Greenville;34.8004;-82.3221
Detroit;42.3679;-83.1386
Toledo;41.7073;-83.5430
Jasper;38.3914;-86.9311
Middlebury;41.6753;-85.7061
Chicago;41.9990;-87.8220
Overland Park;38.9247;-94.7029
Dearborn;42.3045;-83.1774
Minneapolis;45.0636;-93.3789
Grain Valley;39.0150;-94.1986
Hiawatha;39.8525;-95.5358
Springfield;37.2153;-93.2982
Pineville;36.5732;-94.2747
Winfield;41.8617;-88.1609
Tacoma;47.1511;-122.4492
Dayton;39.8330;-84.2177
Joplin;37.0842;-94.5133
Sioux Falls;43.5042;-96.8391
Hebron;39.9617;-82.4913
Wheaton;41.8661;-88.1070
Indianapolis;39.9051;-86.1159
Naperville;41.7069;-88.1978
Columbus;37.1692;-94.8441
Livingston;40.7856;-74.3291
Flippin;36.2790;-92.5971
Omaha;41.2641;-95.9644
Indianapolis;39.9115;-86.0706
Saint Louis;38.6182;-90.3467
Fenton;38.6383;-90.4271
Saint Louis;38.6312;-90.1922
Fairview Heights;38.5889;-89.9904
Saint Louis;38.5351;-90.4077
Cordova;35.1557;-89.7762
Saint Louis;38.6296;-90.3317
Indianapolis;39.8331;-86.1747
Winston Salem;36.1460;-80.3243
Henderson;36.0312;-115.0739
Saint Louis;38.6304;-90.2165
Saint Louis;38.7100;-90.5016
Cape Girardeau;37.2782;-89.5479
Columbia;39.0437;-92.2714
Troy;38.7292;-89.8832
Louisville;38.0858;-85.8495
Saint Louis;38.6450;-90.3263
Poplar Bluff;36.7570;-90.3929
Columbus;39.2359;-85.8360
Montgomery;32.3668;-86.3000
Dubuque;42.5006;-90.6646
Lake Saint Louis;38.7976;-90.7857
Oklahoma City;35.5798;-97.5731
Saint Louis;38.6554;-90.4539
Staunton;39.0123;-89.7912
Taylor;42.2409;-83.2696
Maryland Heights;38.7131;-90.4298
Norwalk;41.1003;-73.3983
Preston;41.5174;-71.9904
New York;40.7546;-73.9762
Andover;42.6584;-71.1370
Stone Mountain;33.7844;-84.2135
Lenexa;38.9506;-94.7791
El Centro;32.7920;-115.5631
Dayton;39.6869;-84.1641
Nephi;39.7102;-111.8363
Clearfield;41.1108;-112.0260
Alpharetta;34.1330;-84.3005
Atlanta;33.7930;-84.4432
Arlington;38.8600;-77.0533
Salt Lake City;40.7608;-111.8911
Salt Lake City;40.7855;-111.7367
Hill Afb;41.1285;-111.9834
North Salt Lake;40.8486;-111.9069
Dayton;39.7334;-84.2236
Atlanta;33.7257;-84.4309
Phoenix;33.4319;-112.0150
Colorado Springs;38.8609;-104.8734
New Orleans;29.9589;-90.1568
Eads;38.4407;-102.7860
